time,year,month,day,hour,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP
2018-02-23 18:00:00,2018.0,2.0,23.0,18.0,320.0,4.0,4.9,1.82,7.69,6.26,46.0,1030.0,9.8,10.6,9.8
2018-02-23 19:00:00,2018.0,2.0,23.0,19.0,328.0,2.5,3.2,1.57,8.33,5.94,90.0,1029.6,9.8,10.6,9.8
2018-02-23 20:00:00,2018.0,2.0,23.0,20.0,210.0,1.6,2.6,1.65,7.69,6.18,68.0,1029.6,10.0,10.6,10.0
2018-02-23 21:00:00,2018.0,2.0,23.0,21.0,244.0,2.1,2.8,1.56,8.33,5.94,54.0,1029.6,9.9,10.6,9.9
2018-02-23 22:00:00,2018.0,2.0,23.0,22.0,281.0,3.5,4.3,1.61,9.09,6.32,94.0,1029.3,9.6,10.6,9.6
2018-02-23 23:00:00,2018.0,2.0,23.0,23.0,280.0,2.6,3.3,1.57,10.0,6.33,98.0,1029.3,9.0,10.4,9.0
2018-02-24 00:00:00,2018.0,2.0,24.0,0.0,256.0,1.8,2.5,1.64,8.33,6.69,128.0,1028.7,8.7,10.3,8.7
2018-02-24 01:00:00,2018.0,2.0,24.0,1.0,205.0,2.4,3.7,1.46,10.0,6.51,82.0,1028.1,8.5,10.1,8.5
2018-02-24 02:00:00,2018.0,2.0,24.0,2.0,206.0,1.9,2.7,1.47,8.33,6.82,98.0,1027.8,8.4,10.0,8.4
2018-02-24 03:00:00,2018.0,2.0,24.0,3.0,201.0,3.1,4.0,1.43,8.33,6.85,114.0,1027.1,8.4,9.9,8.4
2018-02-24 05:00:00,2018.0,2.0,24.0,5.0,189.0,3.3,4.0,1.38,9.09,7.34,155.0,1025.8,9.4,9.7,9.4
2018-02-24 07:00:00,2018.0,2.0,24.0,7.0,216.0,2.8,3.7,1.1,9.09,6.79,118.0,1024.7,10.3,9.7,10.3
2018-02-24 08:00:00,2018.0,2.0,24.0,8.0,217.0,2.4,2.8,1.1,9.09,6.68,137.0,1024.2,10.2,9.7,10.2
2018-02-24 09:00:00,2018.0,2.0,24.0,9.0,218.0,3.3,3.8,1.1,7.69,6.37,93.0,1024.1,10.3,9.7,10.3
2018-02-24 10:00:00,2018.0,2.0,24.0,10.0,225.0,3.3,3.8,1.18,9.09,6.77,133.0,1023.9,10.4,9.7,10.4
2018-02-24 11:00:00,2018.0,2.0,24.0,11.0,239.0,4.5,5.2,1.17,9.09,6.53,135.0,1023.8,10.3,9.7,10.3
2018-02-24 12:00:00,2018.0,2.0,24.0,12.0,237.0,4.3,5.0,1.04,10.0,6.43,147.0,1023.9,10.8,9.7,10.8
2018-02-24 13:00:00,2018.0,2.0,24.0,13.0,233.0,4.6,5.1,1.04,8.33,6.32,134.0,1023.7,11.0,9.7,11.0
2018-02-24 14:00:00,2018.0,2.0,24.0,14.0,219.0,4.5,5.1,1.02,9.09,6.54,123.0,1023.5,11.0,9.8,11.0
2018-02-24 16:00:00,2018.0,2.0,24.0,16.0,228.0,6.2,7.1,1.06,9.09,6.12,135.0,1022.4,12.3,10.0,12.3
2018-02-24 17:00:00,2018.0,2.0,24.0,17.0,230.0,4.8,5.6,0.96,10.0,5.77,148.0,1021.4,12.2,10.0,12.2
2018-02-24 18:00:00,2018.0,2.0,24.0,18.0,213.0,4.3,4.8,0.96,9.09,6.04,141.0,1020.6,11.8,10.1,11.8
2018-02-24 20:00:00,2018.0,2.0,24.0,20.0,211.0,3.4,3.8,1.0,9.09,6.4,147.0,1020.2,12.1,10.3,12.1
2018-02-24 23:00:00,2018.0,2.0,24.0,23.0,205.0,5.1,5.7,0.97,9.09,5.82,138.0,1019.7,12.4,10.3,12.4
2018-02-25 00:00:00,2018.0,2.0,25.0,0.0,210.0,5.2,6.0,0.97,9.09,5.53,147.0,1019.9,12.5,10.2,12.5
2018-02-25 01:00:00,2018.0,2.0,25.0,1.0,214.0,5.8,7.0,1.0,9.09,5.36,154.0,1020.2,12.7,10.1,12.7
2018-02-25 02:00:00,2018.0,2.0,25.0,2.0,211.0,6.0,6.6,0.99,9.09,5.2,164.0,1019.9,12.7,10.0,12.7
2018-02-25 03:00:00,2018.0,2.0,25.0,3.0,207.0,5.1,5.9,0.94,9.09,5.13,152.0,1019.8,12.2,10.0,12.2
2018-02-25 04:00:00,2018.0,2.0,25.0,4.0,201.0,5.2,5.6,1.01,9.09,5.08,159.0,1019.7,12.3,9.9,12.3
2018-02-25 05:00:00,2018.0,2.0,25.0,5.0,201.0,4.9,5.5,0.96,9.09,4.91,155.0,1019.5,12.2,9.9,12.2
2018-02-25 06:00:00,2018.0,2.0,25.0,6.0,215.0,6.3,7.1,0.97,9.09,4.71,126.0,1019.4,12.3,9.9,12.3
2018-02-25 07:00:00,2018.0,2.0,25.0,7.0,213.0,6.5,7.2,0.99,8.33,4.71,136.0,1018.7,12.4,9.8,12.4
2018-02-25 08:00:00,2018.0,2.0,25.0,8.0,211.0,6.9,7.7,1.02,8.33,4.41,146.0,1018.3,12.5,9.8,12.5
2018-02-25 09:00:00,2018.0,2.0,25.0,9.0,212.0,6.6,7.3,1.07,10.0,4.61,145.0,1018.3,12.4,9.8,12.4
2018-02-25 10:00:00,2018.0,2.0,25.0,10.0,211.0,6.1,7.1,1.07,9.09,4.91,137.0,1018.3,12.4,9.8,12.4
2018-02-25 11:00:00,2018.0,2.0,25.0,11.0,212.0,7.5,8.3,1.03,10.0,4.56,141.0,1017.9,13.1,9.8,13.1
2018-02-25 12:00:00,2018.0,2.0,25.0,12.0,217.0,7.2,8.2,1.05,9.09,4.56,130.0,1018.7,13.2,9.8,13.2
