time,year,month,day,hour,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP
2018-02-23 18:00:00,2018.0,2.0,23.0,18.0,118.0,6.1,7.0,0.82,5.0,4.18,61.0,1033.2,3.6,4.4
2018-02-23 19:00:00,2018.0,2.0,23.0,19.0,136.0,7.0,8.0,0.77,4.55,4.02,46.0,1031.9,3.5,4.4
2018-02-23 20:00:00,2018.0,2.0,23.0,20.0,131.0,8.8,10.2,0.72,5.0,3.69,61.0,1030.0,3.3,4.4
2018-02-23 21:00:00,2018.0,2.0,23.0,21.0,133.0,6.9,7.9,0.8,3.45,3.72,92.0,1029.0,3.5,4.3
2018-02-23 22:00:00,2018.0,2.0,23.0,22.0,144.0,8.1,9.4,0.79,3.57,3.66,121.0,1026.7,3.4,4.3
2018-02-23 23:00:00,2018.0,2.0,23.0,23.0,148.0,8.1,9.5,0.82,5.0,3.79,49.0,1025.5,3.1,4.3
2018-02-24 00:00:00,2018.0,2.0,24.0,0.0,166.0,7.6,8.8,0.87,3.7,3.74,124.0,1024.2,3.0,4.3
2018-02-24 01:00:00,2018.0,2.0,24.0,1.0,179.0,5.1,6.0,0.87,4.17,3.9,90.0,1022.9,2.9,4.3
2018-02-24 02:00:00,2018.0,2.0,24.0,2.0,228.0,4.0,4.6,0.79,3.7,4.08,118.0,1021.6,2.7,4.3
2018-02-24 03:00:00,2018.0,2.0,24.0,3.0,241.0,4.6,5.3,0.75,5.56,4.32,80.0,1020.1,2.9,4.4
2018-02-24 05:00:00,2018.0,2.0,24.0,5.0,230.0,6.1,7.9,0.77,5.26,4.51,74.0,1017.1,3.8,4.4
2018-02-24 07:00:00,2018.0,2.0,24.0,7.0,252.0,5.4,6.8,0.84,5.56,3.89,89.0,1015.8,5.2,4.4
2018-02-24 08:00:00,2018.0,2.0,24.0,8.0,255.0,7.1,8.7,0.73,3.33,3.74,276.0,1015.4,5.5,4.3
2018-02-24 09:00:00,2018.0,2.0,24.0,9.0,244.0,6.2,7.2,0.8,3.45,3.68,267.0,1015.8,5.7,4.3
2018-02-24 10:00:00,2018.0,2.0,24.0,10.0,249.0,5.5,6.2,0.65,3.33,3.7,263.0,1016.4,5.8,4.3
2018-02-24 11:00:00,2018.0,2.0,24.0,11.0,251.0,6.1,6.8,0.51,5.26,3.7,96.0,1016.8,5.9,4.3
2018-02-24 12:00:00,2018.0,2.0,24.0,12.0,257.0,7.0,8.1,0.49,2.6,3.3,262.0,1018.2,6.2,4.3
2018-02-24 13:00:00,2018.0,2.0,24.0,13.0,267.0,5.2,5.8,0.44,2.86,3.23,272.0,1018.5,6.1,4.3
2018-02-24 14:00:00,2018.0,2.0,24.0,14.0,275.0,4.7,5.4,0.38,5.88,3.32,112.0,1018.3,6.4,4.4
2018-02-24 16:00:00,2018.0,2.0,24.0,16.0,288.0,2.4,2.9,0.28,5.56,4.16,136.0,1018.3,6.8,4.6
2018-02-24 17:00:00,2018.0,2.0,24.0,17.0,227.0,2.7,2.9,0.27,10.81,3.86,160.0,1018.1,7.2,4.7
2018-02-24 18:00:00,2018.0,2.0,24.0,18.0,6.0,1.7,2.6,0.25,12.12,4.03,114.0,1017.9,8.9,4.8
2018-02-24 20:00:00,2018.0,2.0,24.0,20.0,107.0,3.4,4.3,0.26,11.43,5.46,352.0,1018.3,6.1,4.9
2018-02-24 23:00:00,2018.0,2.0,24.0,23.0,26.0,3.9,4.5,0.26,11.43,5.85,138.0,1020.9,6.6,4.8
2018-02-25 00:00:00,2018.0,2.0,25.0,0.0,73.0,1.4,1.7,0.25,9.09,5.44,93.0,1021.0,6.0,4.7
2018-02-25 01:00:00,2018.0,2.0,25.0,1.0,317.0,1.6,2.1,0.27,7.14,4.38,131.0,1023.1,5.9,4.5
2018-02-25 02:00:00,2018.0,2.0,25.0,2.0,5.0,4.0,4.6,0.28,6.67,4.19,105.0,1023.9,5.7,4.5
2018-02-25 03:00:00,2018.0,2.0,25.0,3.0,25.0,4.7,5.4,0.33,2.74,3.26,30.0,1024.0,5.2,4.4
2018-02-25 04:00:00,2018.0,2.0,25.0,4.0,41.0,4.4,5.4,0.41,2.86,3.49,23.0,1025.1,5.1,4.4
2018-02-25 05:00:00,2018.0,2.0,25.0,5.0,45.0,7.9,9.1,0.47,3.13,3.17,36.0,1025.1,5.0,4.4
2018-02-25 06:00:00,2018.0,2.0,25.0,6.0,55.0,7.9,9.1,0.64,3.13,3.36,44.0,1025.5,4.8,4.5
2018-02-25 07:00:00,2018.0,2.0,25.0,7.0,51.0,8.6,10.0,0.83,3.7,3.59,40.0,1025.3,4.5,4.4
2018-02-25 08:00:00,2018.0,2.0,25.0,8.0,66.0,9.2,10.9,1.02,4.35,3.81,34.0,1024.6,4.3,4.3
2018-02-25 09:00:00,2018.0,2.0,25.0,9.0,66.0,9.0,10.4,1.12,4.55,3.93,39.0,1025.0,4.1,4.3
2018-02-25 10:00:00,2018.0,2.0,25.0,10.0,73.0,7.5,9.2,1.37,5.26,4.24,29.0,1026.0,4.2,4.3
2018-02-25 11:00:00,2018.0,2.0,25.0,11.0,79.0,8.7,10.6,1.59,5.88,4.73,51.0,1024.3,4.0,4.3
2018-02-25 12:00:00,2018.0,2.0,25.0,12.0,93.0,9.1,11.1,1.47,5.88,4.53,45.0,1023.8,4.1,4.2
2018-02-25 14:00:00,2018.0,2.0,25.0,14.0,96.0,8.8,10.5,1.37,5.56,4.59,49.0,1022.7,4.0,4.2
2018-02-25 15:00:00,2018.0,2.0,25.0,15.0,101.0,8.0,9.9,1.34,5.56,4.64,31.0,1023.0,4.0,4.3
2018-02-25 16:00:00,2018.0,2.0,25.0,16.0,109.0,10.8,12.4,1.53,5.88,4.78,43.0,1020.3,3.9,4.3
2018-02-25 17:00:00,2018.0,2.0,25.0,17.0,103.0,9.2,11.6,1.41,6.25,4.55,54.0,1019.3,3.9,4.3
2018-02-25 18:00:00,2018.0,2.0,25.0,18.0,92.0,8.7,11.6,1.55,5.88,4.72,77.0,1017.7,4.1,4.4
2018-02-25 19:00:00,2018.0,2.0,25.0,19.0,91.0,9.4,11.2,1.89,5.88,4.98,73.0,1016.4,4.4,4.4
2018-02-25 21:00:00,2018.0,2.0,25.0,21.0,49.0,4.1,5.1,2.14,7.14,5.31,91.0,1016.0,4.7,4.5
2018-02-25 22:00:00,2018.0,2.0,25.0,22.0,57.0,6.7,7.9,2.2,7.14,5.61,88.0,1014.0,4.6,4.5
2018-02-25 23:00:00,2018.0,2.0,25.0,23.0,40.0,6.4,8.1,2.38,7.14,5.88,104.0,1013.7,4.7,4.5
2018-02-26 00:00:00,2018.0,2.0,26.0,0.0,49.0,5.8,6.9,2.32,7.69,6.0,100.0,1012.7,4.7,4.5
2018-02-26 01:00:00,2018.0,2.0,26.0,1.0,355.0,5.6,6.5,2.1,7.69,5.95,98.0,1014.0,4.7,4.5
2018-02-26 02:00:00,2018.0,2.0,26.0,2.0,349.0,6.7,7.7,1.97,8.33,5.95,98.0,1013.8,4.6,4.5
2018-02-26 03:00:00,2018.0,2.0,26.0,3.0,352.0,6.6,7.8,1.96,8.33,6.05,105.0,1014.2,4.6,4.5
