time,year,month,day,hour,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP
2018-02-23 18:00:00,2018.0,2.0,23.0,18.0,106.0,7.2,8.7,1.35,5.56,4.57,113.0,1032.3,4.6,5.9,1.7
2018-02-23 19:00:00,2018.0,2.0,23.0,19.0,104.0,7.1,8.6,1.31,6.25,4.72,109.0,1031.2,4.6,5.9,2.3
2018-02-23 20:00:00,2018.0,2.0,23.0,20.0,95.0,7.3,8.3,1.32,5.88,4.77,114.0,1030.4,4.0,6.0,3.1
2018-02-23 21:00:00,2018.0,2.0,23.0,21.0,107.0,8.4,9.9,1.27,5.88,4.69,108.0,1028.2,4.2,6.0,3.7
2018-02-23 22:00:00,2018.0,2.0,23.0,22.0,113.0,6.5,7.7,1.25,5.88,4.53,111.0,1027.5,4.7,6.0,4.3
2018-02-23 23:00:00,2018.0,2.0,23.0,23.0,139.0,7.0,8.3,1.29,5.88,4.6,118.0,1025.9,5.4,6.0,5.1
2018-02-24 00:00:00,2018.0,2.0,24.0,0.0,150.0,3.3,4.5,1.25,5.26,4.64,112.0,1025.2,5.8,5.9,5.6
2018-02-24 01:00:00,2018.0,2.0,24.0,1.0,176.0,2.4,3.4,1.22,5.56,4.75,120.0,1023.2,6.0,5.9,5.9
2018-02-24 02:00:00,2018.0,2.0,24.0,2.0,266.0,4.5,5.5,1.19,5.88,4.89,119.0,1022.8,6.2,5.9,6.1
2018-02-24 03:00:00,2018.0,2.0,24.0,3.0,271.0,4.0,5.0,1.07,5.88,5.06,96.0,1021.5,5.1,5.9,5.1
2018-02-24 05:00:00,2018.0,2.0,24.0,5.0,262.0,5.9,7.5,1.03,5.56,4.8,95.0,1021.2,4.9,5.8,4.9
2018-02-24 07:00:00,2018.0,2.0,24.0,7.0,250.0,8.5,10.8,0.96,5.26,4.18,90.0,1020.2,5.1,5.8,5.1
2018-02-24 08:00:00,2018.0,2.0,24.0,8.0,249.0,8.6,10.6,1.05,3.85,4.15,241.0,1019.9,5.2,5.8,5.1
2018-02-24 09:00:00,2018.0,2.0,24.0,9.0,248.0,10.0,12.0,1.09,3.85,4.17,239.0,1019.9,5.0,5.8,5.0
2018-02-24 10:00:00,2018.0,2.0,24.0,10.0,252.0,9.2,11.0,1.23,4.35,4.28,237.0,1020.1,5.2,5.8,5.2
2018-02-24 11:00:00,2018.0,2.0,24.0,11.0,258.0,8.8,10.3,1.39,4.55,4.48,237.0,1020.8,5.0,5.8,5.0
2018-02-24 12:00:00,2018.0,2.0,24.0,12.0,266.0,6.4,7.6,1.22,4.76,4.43,225.0,1021.9,5.0,5.8,5.0
2018-02-24 13:00:00,2018.0,2.0,24.0,13.0,260.0,2.9,3.6,1.11,4.55,4.66,228.0,1021.9,5.6,5.8,5.6
2018-02-24 14:00:00,2018.0,2.0,24.0,14.0,248.0,2.7,3.3,1.01,5.0,4.84,217.0,1021.3,5.8,5.9,5.8
2018-02-24 16:00:00,2018.0,2.0,24.0,16.0,239.0,3.5,4.2,1.0,5.0,5.02,218.0,1020.9,6.1,6.0,6.0
2018-02-24 17:00:00,2018.0,2.0,24.0,17.0,239.0,4.4,5.1,0.85,7.69,4.87,159.0,1020.6,6.2,6.1,6.0
2018-02-24 18:00:00,2018.0,2.0,24.0,18.0,259.0,4.5,5.6,0.86,5.56,4.62,176.0,1020.5,6.1,6.1,5.7
2018-02-24 20:00:00,2018.0,2.0,24.0,20.0,268.0,3.4,4.0,0.76,5.56,4.6,189.0,1021.2,6.2,6.0,5.7
2018-02-24 23:00:00,2018.0,2.0,24.0,23.0,346.0,6.1,6.9,0.64,8.33,5.32,148.0,1022.1,6.7,6.0,5.3
2018-02-25 00:00:00,2018.0,2.0,25.0,0.0,6.0,4.5,5.5,0.59,7.69,5.53,159.0,1022.4,6.2,6.0,5.5
2018-02-25 01:00:00,2018.0,2.0,25.0,1.0,10.0,2.4,3.0,0.59,9.09,6.01,190.0,1022.9,6.2,6.0,5.5
2018-02-25 02:00:00,2018.0,2.0,25.0,2.0,360.0,3.9,4.6,0.54,8.33,5.86,152.0,1023.7,5.9,5.9,5.3
2018-02-25 03:00:00,2018.0,2.0,25.0,3.0,24.0,4.3,5.1,0.53,8.33,5.85,177.0,1023.5,5.6,6.0,4.6
2018-02-25 04:00:00,2018.0,2.0,25.0,4.0,65.0,3.5,4.2,0.55,9.09,4.98,198.0,1024.1,6.0,6.0,4.3
2018-02-25 05:00:00,2018.0,2.0,25.0,5.0,41.0,4.6,5.7,0.54,8.33,5.18,189.0,1023.7,5.8,6.0,4.8
2018-02-25 06:00:00,2018.0,2.0,25.0,6.0,69.0,5.9,7.4,0.54,9.09,4.57,138.0,1023.5,6.1,6.0,5.3
