time,year,month,day,hour,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP
2018-02-25 07:00:00,2018.0,2.0,25.0,7.0,95.0,7.0,9.0,0.56,8.33,4.48,197.0,1022.7,6.3,6.0,5.8
2018-02-25 08:00:00,2018.0,2.0,25.0,8.0,101.0,7.6,9.4,0.68,9.09,3.93,153.0,1022.0,6.5,6.0,5.8
2018-02-25 09:00:00,2018.0,2.0,25.0,9.0,88.0,8.8,10.6,0.84,3.57,3.84,110.0,1022.1,6.6,6.1,5.3
2018-02-25 10:00:00,2018.0,2.0,25.0,10.0,84.0,8.6,10.2,1.0,4.17,3.94,106.0,1022.5,6.2,6.1,4.7
2018-02-25 11:00:00,2018.0,2.0,25.0,11.0,93.0,10.9,13.7,1.16,4.55,3.92,105.0,1021.4,5.8,6.2,4.7
2018-02-25 12:00:00,2018.0,2.0,25.0,12.0,84.0,12.4,15.2,1.57,4.76,4.39,105.0,1020.7,5.5,6.2,4.7
2018-02-25 14:00:00,2018.0,2.0,25.0,14.0,91.0,12.8,15.0,2.07,5.88,4.94,110.0,1018.1,5.7,6.2,5.4
2018-02-25 15:00:00,2018.0,2.0,25.0,15.0,96.0,12.4,16.3,2.02,6.67,4.98,121.0,1016.1,6.0,6.2,5.7
2018-02-25 16:00:00,2018.0,2.0,25.0,16.0,74.0,9.3,11.3,2.18,6.67,5.15,116.0,1015.5,6.3,6.2,6.2
2018-02-25 17:00:00,2018.0,2.0,25.0,17.0,91.0,9.8,12.0,2.44,6.67,5.41,119.0,1013.3,6.4,6.1,6.4
2018-02-25 18:00:00,2018.0,2.0,25.0,18.0,105.0,8.2,10.7,2.36,6.67,5.46,119.0,1011.5,6.8,6.1,6.8
2018-02-25 19:00:00,2018.0,2.0,25.0,19.0,170.0,5.2,6.6,2.2,6.25,5.54,116.0,1011.1,8.4,6.2,8.4
2018-02-25 21:00:00,2018.0,2.0,25.0,21.0,327.0,7.7,9.2,1.87,7.69,5.72,100.0,1012.7,5.4,6.2,5.4
2018-02-25 22:00:00,2018.0,2.0,25.0,22.0,356.0,6.8,8.3,1.83,7.69,5.51,105.0,1013.0,5.5,6.2,5.5
2018-02-25 23:00:00,2018.0,2.0,25.0,23.0,327.0,5.1,6.4,1.85,6.67,5.7,89.0,1014.3,5.6,6.1,5.6
2018-02-26 00:00:00,2018.0,2.0,26.0,0.0,304.0,4.7,6.0,1.81,7.14,5.84,91.0,1015.3,5.7,6.1,5.4
2018-02-26 01:00:00,2018.0,2.0,26.0,1.0,315.0,4.2,5.5,1.85,7.14,6.01,97.0,1015.5,5.6,6.1,5.0
2018-02-26 02:00:00,2018.0,2.0,26.0,2.0,306.0,3.8,5.3,1.62,7.14,5.71,90.0,1016.1,5.5,6.1,4.9
2018-02-26 03:00:00,2018.0,2.0,26.0,3.0,306.0,3.8,5.1,1.57,8.33,5.84,105.0,1016.4,5.4,6.1,4.7
2018-02-26 04:00:00,2018.0,2.0,26.0,4.0,301.0,3.4,4.3,1.65,7.69,6.25,105.0,1016.2,5.3,6.1,4.6
2018-02-26 05:00:00,2018.0,2.0,26.0,5.0,294.0,4.2,5.1,1.33,7.14,5.88,96.0,1016.4,5.0,6.1,4.5
2018-02-26 06:00:00,2018.0,2.0,26.0,6.0,275.0,4.8,5.7,1.37,8.33,5.88,106.0,1017.0,4.5,6.1,4.3
2018-02-26 07:00:00,2018.0,2.0,26.0,7.0,278.0,5.0,6.4,1.23,8.33,5.94,101.0,1017.3,4.8,6.1,4.4
2018-02-26 08:00:00,2018.0,2.0,26.0,8.0,300.0,4.4,5.5,1.26,7.69,6.21,90.0,1017.6,4.7,6.0,4.2
2018-02-26 09:00:00,2018.0,2.0,26.0,9.0,314.0,2.8,3.5,1.19,7.69,6.22,78.0,1017.7,4.6,6.0,4.3
2018-02-26 10:00:00,2018.0,2.0,26.0,10.0,338.0,1.3,1.8,1.17,7.69,6.3,98.0,1017.4,4.5,6.0,4.4
2018-02-26 11:00:00,2018.0,2.0,26.0,11.0,249.0,2.4,3.2,1.14,7.14,6.65,100.0,1018.6,4.9,6.0,4.8
2018-02-26 12:00:00,2018.0,2.0,26.0,12.0,254.0,2.9,3.6,1.13,7.14,6.64,101.0,1019.2,5.2,6.0,5.0
2018-02-26 13:00:00,2018.0,2.0,26.0,13.0,276.0,4.5,5.4,1.13,7.69,6.84,111.0,1020.5,5.6,6.0,5.1
2018-02-26 14:00:00,2018.0,2.0,26.0,14.0,296.0,4.0,5.0,1.2,8.33,6.7,97.0,1019.9,5.5,6.0,4.9
2018-02-26 16:00:00,2018.0,2.0,26.0,16.0,252.0,3.3,4.0,1.0,8.33,6.65,92.0,1020.2,5.7,6.0,5.0
2018-02-26 17:00:00,2018.0,2.0,26.0,17.0,256.0,4.5,5.4,1.03,8.33,6.73,110.0,1020.0,5.8,6.0,5.2
2018-02-26 18:00:00,2018.0,2.0,26.0,18.0,260.0,4.9,5.7,1.08,7.69,6.65,113.0,1019.5,5.8,6.0,5.3
2018-02-26 19:00:00,2018.0,2.0,26.0,19.0,256.0,5.0,6.0,0.88,7.69,5.89,101.0,1019.1,6.0,6.0,5.4
2018-02-26 20:00:00,2018.0,2.0,26.0,20.0,261.0,5.3,6.7,1.01,7.69,6.0,102.0,1019.4,6.1,6.0,5.4
2018-02-26 21:00:00,2018.0,2.0,26.0,21.0,262.0,6.0,6.9,0.88,7.69,5.64,91.0,1019.9,6.3,6.0,4.5
2018-02-26 22:00:00,2018.0,2.0,26.0,22.0,271.0,4.8,6.0,0.88,7.69,5.48,87.0,1020.5,6.4,6.0,3.8
2018-02-27 00:00:00,2018.0,2.0,27.0,0.0,255.0,5.1,6.0,0.83,7.69,5.57,101.0,1021.6,6.4,6.0,3.6
2018-02-27 01:00:00,2018.0,2.0,27.0,1.0,259.0,5.4,6.4,0.73,7.69,5.25,105.0,1022.2,6.5,6.0,3.4
2018-02-27 02:00:00,2018.0,2.0,27.0,2.0,280.0,5.0,5.7,0.74,8.33,5.27,119.0,1022.6,6.2,6.0,3.5
2018-02-27 03:00:00,2018.0,2.0,27.0,3.0,291.0,5.5,6.5,0.7,7.69,5.16,118.0,1023.1,6.7,6.0,2.1
2018-02-27 04:00:00,2018.0,2.0,27.0,4.0,320.0,5.7,6.9,0.67,9.09,5.35,130.0,1023.7,6.4,5.8,0.9
2018-02-27 05:00:00,2018.0,2.0,27.0,5.0,314.0,6.0,6.9,0.71,9.09,4.85,138.0,1024.6,6.3,5.7,0.0
2018-02-27 06:00:00,2018.0,2.0,27.0,6.0,319.0,4.7,5.8,0.72,7.69,4.65,122.0,1025.3,5.7,5.7,0.2
2018-02-27 07:00:00,2018.0,2.0,27.0,7.0,326.0,8.0,9.8,0.67,8.33,4.59,114.0,1025.6,5.3,5.6,-0.9
2018-02-27 08:00:00,2018.0,2.0,27.0,8.0,325.0,8.2,9.5,0.81,8.33,4.18,71.0,1025.7,5.3,5.6,-1.4
2018-02-27 09:00:00,2018.0,2.0,27.0,9.0,319.0,6.3,7.5,0.83,7.69,4.21,97.0,1026.4,5.1,5.6,-1.4
2018-02-27 12:00:00,2018.0,2.0,27.0,12.0,280.0,5.0,6.3,0.59,8.33,5.09,92.0,1028.2,5.0,5.6,-0.8
2018-02-27 13:00:00,2018.0,2.0,27.0,13.0,286.0,5.1,6.2,0.56,8.33,4.32,97.0,1028.9,4.9,5.7,-1.3
2018-02-27 14:00:00,2018.0,2.0,27.0,14.0,283.0,5.1,6.1,0.58,9.09,4.2,102.0,1028.9,4.8,5.8,0.1
2018-02-27 15:00:00,2018.0,2.0,27.0,15.0,297.0,5.3,6.2,0.53,8.33,4.32,120.0,1028.8,5.7,5.9,-1.3
2018-02-27 16:00:00,2018.0,2.0,27.0,16.0,276.0,4.4,5.4,0.49,9.09,4.6,123.0,1028.4,5.9,6.0,-1.3
2018-02-27 17:00:00,2018.0,2.0,27.0,17.0,262.0,5.3,6.3,0.51,9.09,4.44,106.0,1027.7,5.9,6.0,-0.4
2018-02-27 18:00:00,2018.0,2.0,27.0,18.0,261.0,5.8,6.8,0.53,8.33,4.24,113.0,1027.0,5.8,6.0,0.4
2018-02-27 19:00:00,2018.0,2.0,27.0,19.0,249.0,5.0,6.5,0.5,8.33,3.98,94.0,1026.6,6.2,6.1,1.4
2018-02-27 22:00:00,2018.0,2.0,27.0,22.0,219.0,5.8,6.6,0.62,9.09,4.25,114.0,1025.6,6.3,6.0,1.4
2018-02-27 23:00:00,2018.0,2.0,27.0,23.0,219.0,5.6,6.5,0.64,3.33,4.11,235.0,1025.4,6.4,6.0,2.3
2018-02-28 00:00:00,2018.0,2.0,28.0,0.0,224.0,6.8,8.3,0.66,10.81,3.97,103.0,1025.2,6.6,6.0,2.1
2018-02-28 02:00:00,2018.0,2.0,28.0,2.0,226.0,7.6,8.8,0.88,3.7,3.86,237.0,1024.9,6.5,6.0,3.1
2018-02-28 03:00:00,2018.0,2.0,28.0,3.0,224.0,7.6,8.9,0.93,4.35,4.12,231.0,1024.0,6.6,6.0,2.8
2018-02-28 04:00:00,2018.0,2.0,28.0,4.0,224.0,8.6,10.2,0.97,4.17,4.04,229.0,1023.3,7.0,6.0,1.9
2018-02-28 06:00:00,2018.0,2.0,28.0,6.0,239.0,9.1,11.3,1.16,4.76,4.29,228.0,1023.0,6.6,6.0,2.2
2018-02-28 07:00:00,2018.0,2.0,28.0,7.0,243.0,8.4,10.2,1.24,5.0,4.33,230.0,1022.8,6.4,6.0,2.5
2018-02-28 08:00:00,2018.0,2.0,28.0,8.0,242.0,7.8,9.7,1.15,5.0,4.27,221.0,1022.4,6.3,6.0,2.2
2018-02-28 09:00:00,2018.0,2.0,28.0,9.0,238.0,8.1,9.3,1.17,5.26,4.45,237.0,1022.0,6.3,6.0,2.3
2018-02-28 10:00:00,2018.0,2.0,28.0,10.0,235.0,7.6,9.4,1.15,5.56,4.45,234.0,1022.0,6.3,6.0,2.3
2018-02-28 14:00:00,2018.0,2.0,28.0,14.0,227.0,7.2,8.5,1.03,5.56,4.44,225.0,1020.7,7.1,5.9,3.1
2018-02-28 15:00:00,2018.0,2.0,28.0,15.0,228.0,7.3,8.6,0.97,5.26,4.24,220.0,1020.1,7.2,5.9,3.4
2018-02-28 16:00:00,2018.0,2.0,28.0,16.0,223.0,6.6,7.9,0.96,5.0,4.3,221.0,1019.2,7.3,6.0,3.4
2018-02-28 17:00:00,2018.0,2.0,28.0,17.0,216.0,6.7,7.7,0.99,4.55,4.41,222.0,1017.6,7.5,6.0,4.1
2018-02-28 18:00:00,2018.0,2.0,28.0,18.0,212.0,8.8,10.1,1.14,5.26,4.53,222.0,1016.1,7.7,6.1,4.4
2018-02-28 19:00:00,2018.0,2.0,28.0,19.0,213.0,8.6,10.6,1.21,5.26,4.43,220.0,1015.4,7.9,6.1,4.8
2018-02-28 21:00:00,2018.0,2.0,28.0,21.0,214.0,9.0,10.5,1.27,5.0,4.58,219.0,1014.1,8.0,6.1,4.5
2018-02-28 22:00:00,2018.0,2.0,28.0,22.0,211.0,9.2,10.6,1.32,5.26,4.48,218.0,1013.6,7.8,6.1,4.7
2018-02-28 23:00:00,2018.0,2.0,28.0,23.0,213.0,9.0,10.4,1.4,5.26,4.69,215.0,1013.0,7.9,6.1,4.5
2018-03-01 00:00:00,2018.0,3.0,1.0,0.0,220.0,9.2,10.7,1.47,5.26,4.73,218.0,1013.0,7.9,6.0,4.6
2018-03-01 01:00:00,2018.0,3.0,1.0,1.0,221.0,8.7,10.4,1.67,5.88,5.06,224.0,1012.8,8.0,6.0,4.6
2018-03-01 02:00:00,2018.0,3.0,1.0,2.0,228.0,7.8,9.2,1.49,5.88,5.04,223.0,1013.0,7.7,5.9,4.9
2018-03-01 03:00:00,2018.0,3.0,1.0,3.0,233.0,6.0,6.9,1.42,5.56,5.16,218.0,1012.9,7.3,5.9,5.1
2018-03-01 04:00:00,2018.0,3.0,1.0,4.0,222.0,5.9,7.0,1.44,16.0,5.41,126.0,1012.2,7.4,5.8,5.1
2018-03-01 05:00:00,2018.0,3.0,1.0,5.0,229.0,5.0,6.4,1.3,17.39,5.45,113.0,1012.3,7.3,5.8,5.3
2018-03-01 06:00:00,2018.0,3.0,1.0,6.0,227.0,6.8,8.0,1.28,6.25,5.53,220.0,1012.1,7.5,5.7,5.2
2018-03-01 07:00:00,2018.0,3.0,1.0,7.0,231.0,4.0,4.5,1.26,16.0,5.57,102.0,1011.9,7.2,5.7,5.2
2018-03-01 08:00:00,2018.0,3.0,1.0,8.0,227.0,4.8,5.9,1.25,16.0,5.81,135.0,1011.2,7.0,5.7,5.1
2018-03-01 09:00:00,2018.0,3.0,1.0,9.0,236.0,4.6,5.5,1.21,16.0,5.81,107.0,1011.0,6.9,5.7,5.2
2018-03-01 10:00:00,2018.0,3.0,1.0,10.0,240.0,4.1,4.7,1.23,16.0,5.79,96.0,1010.6,6.8,5.7,5.2
2018-03-01 11:00:00,2018.0,3.0,1.0,11.0,247.0,3.4,4.1,1.15,14.81,5.63,91.0,1011.4,6.7,5.7,5.2
2018-03-01 12:00:00,2018.0,3.0,1.0,12.0,234.0,2.3,2.6,1.14,17.39,5.73,122.0,1011.4,6.6,5.8,5.4
2018-03-01 13:00:00,2018.0,3.0,1.0,13.0,214.0,2.9,3.4,1.17,16.0,6.03,91.0,1011.6,6.5,5.8,5.5
2018-03-01 14:00:00,2018.0,3.0,1.0,14.0,233.0,1.1,1.4,1.01,16.0,5.6,222.0,1011.4,6.7,5.9,5.7
2018-03-01 15:00:00,2018.0,3.0,1.0,15.0,272.0,0.8,1.2,1.05,16.0,5.92,211.0,1011.6,6.9,6.0,5.9
2018-03-01 16:00:00,2018.0,3.0,1.0,16.0,211.0,0.4,0.8,0.98,16.0,6.32,115.0,1011.7,7.3,6.1,6.0
2018-03-01 18:00:00,2018.0,3.0,1.0,18.0,80.0,1.1,1.5,0.9,14.81,6.01,97.0,1009.6,7.6,7.3,6.0
2018-03-01 19:00:00,2018.0,3.0,1.0,19.0,49.0,1.7,1.9,0.89,13.79,6.16,139.0,1009.6,7.5,7.3,6.3
2018-03-01 20:00:00,2018.0,3.0,1.0,20.0,77.0,2.6,3.1,0.86,13.79,6.07,113.0,1008.9,7.3,6.8,6.5
2018-03-01 21:00:00,2018.0,3.0,1.0,21.0,72.0,3.3,4.3,0.94,14.81,6.35,129.0,1008.0,6.9,6.8,6.3
2018-03-01 23:00:00,2018.0,3.0,1.0,23.0,77.0,6.3,7.2,0.94,13.79,6.28,121.0,1006.1,7.3,6.1,5.6
2018-03-02 00:00:00,2018.0,3.0,2.0,0.0,78.0,8.4,9.7,0.89,14.81,5.17,120.0,1005.2,7.4,6.1,4.9
2018-03-02 05:00:00,2018.0,3.0,2.0,5.0,46.0,12.2,15.0,1.61,4.76,4.45,86.0,998.5,5.6,6.0,5.2
2018-03-02 06:00:00,2018.0,3.0,2.0,6.0,43.0,14.3,17.8,2.01,5.56,4.82,80.0,995.9,5.4,6.0,5.1
2018-03-02 08:00:00,2018.0,3.0,2.0,8.0,39.0,16.8,19.9,2.77,6.67,5.44,59.0,989.9,5.4,6.1,4.9
2018-03-02 09:00:00,2018.0,3.0,2.0,9.0,30.0,17.4,21.5,3.24,7.14,5.81,62.0,987.5,5.5,6.1,4.9
2018-03-02 10:00:00,2018.0,3.0,2.0,10.0,28.0,17.3,21.3,3.22,7.69,5.98,67.0,985.6,5.6,6.1,5.1
2018-03-02 11:00:00,2018.0,3.0,2.0,11.0,23.0,18.2,22.3,3.88,7.69,6.36,62.0,983.7,5.7,6.1,5.3
2018-03-02 15:00:00,2018.0,3.0,2.0,15.0,12.0,19.6,24.1,4.64,7.69,6.94,62.0,979.1,5.9,6.0,4.8
2018-03-02 17:00:00,2018.0,3.0,2.0,17.0,358.0,17.6,21.4,3.55,8.33,6.11,70.0,979.0,6.8,5.8,5.7
2018-03-02 18:00:00,2018.0,3.0,2.0,18.0,1.0,17.6,23.1,3.89,7.69,6.23,59.0,979.4,6.7,5.6,6.0
2018-03-02 21:00:00,2018.0,3.0,2.0,21.0,6.0,18.8,24.1,4.2,8.33,6.49,55.0,985.6,6.4,5.2,4.7
2018-03-02 23:00:00,2018.0,3.0,2.0,23.0,349.0,19.5,24.4,4.41,8.33,6.6,62.0,990.1,5.2,5.2,3.0
2018-03-03 00:00:00,2018.0,3.0,3.0,0.0,345.0,19.1,24.2,4.32,9.09,6.68,68.0,992.4,5.1,5.1,2.3
2018-03-03 01:00:00,2018.0,3.0,3.0,1.0,346.0,20.0,24.6,4.52,8.33,6.84,38.0,994.2,4.6,5.0,1.9
2018-03-03 02:00:00,2018.0,3.0,3.0,2.0,347.0,18.2,23.1,4.58,8.33,6.86,50.0,997.2,4.4,4.9,1.7
2018-03-03 04:00:00,2018.0,3.0,3.0,4.0,341.0,16.2,20.3,4.69,12.12,7.49,89.0,1000.8,3.9,5.1,1.5
2018-03-03 05:00:00,2018.0,3.0,3.0,5.0,344.0,16.6,19.9,4.38,10.0,7.2,79.0,1001.6,3.4,5.0,1.3
2018-03-03 06:00:00,2018.0,3.0,3.0,6.0,337.0,15.4,19.4,3.97,10.81,6.75,85.0,1001.5,3.9,5.0,0.7
2018-03-03 07:00:00,2018.0,3.0,3.0,7.0,340.0,15.3,20.2,3.97,12.9,6.75,96.0,1001.6,4.9,4.8,-0.3
2018-03-03 09:00:00,2018.0,3.0,3.0,9.0,343.0,13.4,17.4,3.78,7.69,6.86,47.0,1004.5,4.7,4.7,-0.4
2018-03-03 10:00:00,2018.0,3.0,3.0,10.0,341.0,12.8,15.2,3.73,12.12,6.94,91.0,1005.7,4.7,5.0,-0.6
2018-03-03 11:00:00,2018.0,3.0,3.0,11.0,342.0,13.5,17.0,3.57,11.43,7.14,96.0,1006.4,5.0,5.1,-0.2
2018-03-03 12:00:00,2018.0,3.0,3.0,12.0,342.0,14.1,17.4,3.94,11.43,7.3,93.0,1007.7,4.9,5.2,0.4
2018-03-03 13:00:00,2018.0,3.0,3.0,13.0,341.0,14.0,17.7,3.66,13.79,6.94,94.0,1008.2,4.9,5.2,0.5
2018-03-03 14:00:00,2018.0,3.0,3.0,14.0,343.0,12.7,15.2,3.4,10.81,6.62,78.0,1009.3,4.9,5.4,0.7
2018-03-03 16:00:00,2018.0,3.0,3.0,16.0,11.0,12.0,14.9,3.25,10.81,6.84,84.0,1010.8,5.4,5.6,1.9
2018-03-03 17:00:00,2018.0,3.0,3.0,17.0,352.0,14.0,18.0,3.23,10.81,6.85,82.0,1010.6,5.4,5.5,1.4
2018-03-03 18:00:00,2018.0,3.0,3.0,18.0,359.0,11.3,14.6,3.82,10.81,7.34,82.0,1011.4,5.8,5.5,1.3
2018-03-03 19:00:00,2018.0,3.0,3.0,19.0,7.0,12.0,14.5,3.58,11.43,7.24,100.0,1011.9,5.6,5.2,0.9
2018-03-03 20:00:00,2018.0,3.0,3.0,20.0,1.0,10.1,11.6,3.49,10.81,7.27,98.0,1012.8,5.5,4.9,0.8
2018-03-03 21:00:00,2018.0,3.0,3.0,21.0,12.0,10.0,12.1,3.57,10.81,7.37,103.0,1013.9,5.2,4.7,1.1
2018-03-03 22:00:00,2018.0,3.0,3.0,22.0,22.0,10.2,13.1,3.45,14.81,7.52,96.0,1014.9,5.1,4.5,1.0
2018-03-03 23:00:00,2018.0,3.0,3.0,23.0,12.0,12.7,15.3,3.48,11.43,7.21,97.0,1015.6,4.9,4.4,-0.6
2018-03-04 00:00:00,2018.0,3.0,4.0,0.0,8.0,11.3,13.6,3.58,11.43,7.23,98.0,1016.1,4.8,4.4,-0.6
2018-03-04 02:00:00,2018.0,3.0,4.0,2.0,340.0,11.5,14.1,3.19,13.79,7.21,97.0,1015.7,4.8,4.7,-1.1
2018-03-04 03:00:00,2018.0,3.0,4.0,3.0,329.0,11.0,13.4,2.85,11.43,6.77,97.0,1015.7,4.8,4.8,-0.8
2018-03-04 04:00:00,2018.0,3.0,4.0,4.0,328.0,11.2,13.7,2.66,10.81,6.5,81.0,1015.5,5.0,4.8,-0.8
2018-03-04 05:00:00,2018.0,3.0,4.0,5.0,337.0,10.8,13.2,2.85,10.81,7.26,85.0,1015.5,5.1,4.8,-0.2
2018-03-04 06:00:00,2018.0,3.0,4.0,6.0,337.0,10.6,12.6,2.84,16.0,7.11,96.0,1015.7,5.0,4.9,-0.4
2018-03-04 07:00:00,2018.0,3.0,4.0,7.0,340.0,10.0,12.1,2.82,16.0,6.92,87.0,1015.5,4.9,4.9,-0.5
2018-03-04 08:00:00,2018.0,3.0,4.0,8.0,5.0,10.8,13.1,2.74,16.0,6.82,20.0,1015.8,4.7,5.0,-0.8
2018-03-04 09:00:00,2018.0,3.0,4.0,9.0,354.0,8.4,10.2,2.86,14.81,6.88,97.0,1016.2,4.5,5.0,-0.1
2018-03-04 10:00:00,2018.0,3.0,4.0,10.0,351.0,11.0,13.0,2.73,14.81,6.56,91.0,1016.4,4.2,5.0,-2.0
2018-03-04 11:00:00,2018.0,3.0,4.0,11.0,347.0,12.4,15.3,2.87,12.9,7.09,86.0,1016.5,4.2,4.9,-2.1
2018-03-04 12:00:00,2018.0,3.0,4.0,12.0,351.0,11.0,13.3,2.88,13.79,6.91,89.0,1016.9,4.1,4.9,-2.6
2018-03-04 13:00:00,2018.0,3.0,4.0,13.0,353.0,9.1,11.3,2.96,16.0,7.08,107.0,1017.1,4.3,5.0,-1.6
2018-03-04 14:00:00,2018.0,3.0,4.0,14.0,354.0,10.1,12.5,3.06,14.81,7.43,106.0,1016.9,4.4,5.0,-2.5
2018-03-04 16:00:00,2018.0,3.0,4.0,16.0,355.0,7.1,8.8,2.73,14.81,7.31,108.0,1016.6,4.6,5.0,-2.0
2018-03-04 17:00:00,2018.0,3.0,4.0,17.0,14.0,5.1,6.5,2.64,11.43,7.38,103.0,1016.1,4.5,5.0,-1.8
2018-03-04 18:00:00,2018.0,3.0,4.0,18.0,23.0,4.1,5.4,2.4,13.79,7.52,110.0,1015.9,4.5,4.9,-1.7
2018-03-04 20:00:00,2018.0,3.0,4.0,20.0,330.0,5.2,7.4,2.47,14.81,7.8,112.0,1015.4,5.0,4.7,-1.1
2018-03-04 21:00:00,2018.0,3.0,4.0,21.0,321.0,6.1,8.0,2.45,13.79,7.7,94.0,1015.3,5.2,4.7,-0.9
2018-03-04 22:00:00,2018.0,3.0,4.0,22.0,310.0,8.9,11.1,2.45,13.79,7.51,105.0,1015.4,4.8,4.7,-0.7
2018-03-04 23:00:00,2018.0,3.0,4.0,23.0,309.0,10.8,13.1,2.58,16.0,7.09,113.0,1015.4,4.3,4.8,-0.5
2018-03-05 00:00:00,2018.0,3.0,5.0,0.0,310.0,11.3,13.9,2.59,14.81,6.98,103.0,1015.2,3.6,4.7,-0.5
2018-03-05 01:00:00,2018.0,3.0,5.0,1.0,312.0,10.5,13.6,2.66,10.0,6.32,84.0,1015.4,3.2,4.7,-1.0
